ball_speed_mph,spin_rate_rpm,carry_yards,max_height_yards,flight_time_s,land_angle_deg
180,1000,206.6869301134419,14.723785128367846,3.9529999999996757,22.216216372467308
180,1100,212.16762640832417,15.445473049082922,4.121999999999711,22.98440456551861
180,1200,217.7721247787444,16.223700523281224,4.299999999999771,23.816243055627872
180,1300,223.51367889395473,17.06339241720873,4.4879999999998335,24.724041478024485
180,1400,229.3122525475813,17.969797957227925,4.683999999999899,25.684477012631028
180,1500,235.24134292357635,18.94848768834624,4.890999999999968,26.733553153485353
180,1600,241.22305658985042,20.00533228516406,5.10700000000004,27.84785460504806
180,1700,247.26928546142906,21.146482665238107,5.333000000000116,29.03908782685046
180,1800,253.3625503428138,22.378342327894867,5.5690000000001945,30.306650210676953
180,1900,259.4605957046405,23.707527981752726,5.814000000000276,31.63791158571822
180,2000,265.5989670066093,25.140837607821066,6.070000000000362,33.05369129895126
180,2100,271.7120624978476,26.685205697187556,6.33500000000045,34.54636479362731
180,2200,277.50824930349364,28.34766545108723,6.597000000000538,36.435535074864546
180,2300,282.7522158921046,30.135309107329476,6.845000000000621,38.40891780702334
180,2400,287.5431919649495,32.05525602593988,7.0820000000007,40.37422570895488
180,2500,291.8874058576184,34.11450420852919,7.307000000000775,42.26926180278924
180,2600,295.8319464221594,36.3014787697023,7.521000000000846,44.07717313956346
180,2700,299.4391214176288,38.57482510193141,7.726000000000915,45.80239470666193
180,2800,302.7084366669907,40.90308185180385,7.92100000000098,47.42551970344203
180,2900,305.67727100328375,43.263800749294774,8.107000000000946,48.9520110354415
180,3000,308.3799054716257,45.63996251854692,8.285000000000847,50.389392523371235
180,3100,310.84788189942503,48.01801534976375,8.456000000000753,51.74620028420243
180,3200,313.0762038707227,50.38673844018357,8.619000000000662,53.01462004931549
180,3300,315.0776629673755,52.73653643114525,8.774000000000576,54.19718807105389
180,3400,316.8969258455345,55.058988352104485,8.923000000000494,55.31266021194513
180,3500,318.54334694755823,57.346548671536716,9.066000000000415,56.363018733084125
180,3600,319.9949261751537,59.592347785290514,9.20100000000034,57.336056663278136
180,3700,321.3079182114255,61.79005525657766,9.331000000000268,58.25680374397723
180,3800,322.45992874786253,63.93378474965648,9.4540000000002,59.11350050661151
180,3900,323.47443256713933,66.01803286401346,9.571000000000135,59.91595283766668
180,4000,324.35907533673844,68.03764037498135,9.682000000000073,60.66665621282395
180,4100,325.12118497311616,69.98776261722422,9.787000000000015,61.36802402769533
180,4200,325.78149681940863,71.8638604769383,9.88699999999996,62.02843215324393
180,4300,326.3189929847891,73.66169259121321,9.979999999999908,62.63776445641471
180,4400,326.75401358202055,75.3773134155976,10.06699999999986,63.20430039978663
180,4500,327.1056134761697,77.0070880076096,10.148999999999814,63.73558627385736
180,4600,327.36602950768884,78.54768866326502,10.224999999999772,64.22749644941213
180,4700,327.540636911645,79.99611160951673,10.294999999999733,64.68167923918429
180,4800,327.6469207945289,81.34968534962503,10.359999999999697,65.10495332110578
180,4900,327.67675854191657,82.60607806770675,10.418999999999665,65.49319351516873
180,5000,327.6344998348276,83.7633110811741,10.471999999999635,65.84766329230422
